Regular,STORAGE TYPE,HIERARCHY TYPE,COMMENT,ASO DATA STORAGE,BSO DATA STORAGE,TWO PASS CALCULATION,ASO DIMENSION FORMULA,BSO DIMENSION FORMULA,CONSOLIDATION TYPE,UDA,PARENT,ALIAS:Default,ALIAS:English
"Account","SPARSE","DYNAMIC",,"STOREDATA","NEVERSHARE","N",,,,,,"ALIAS:Default","ALIAS:English"
"PER2100","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Personnel Expenses","Regular Salary","Regular Salary",
"PER2200","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Personnel Expenses","Regular Wages","Regular Wages",
"PER2300","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Personnel Expenses","Overtime","Overtime",
"PER2400","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Personnel Expenses","Vacation","Vacation",
"PER2500","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Personnel Expenses","Benefits","Benefits",
"Facilities Expenses","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Operating Expenses","Facilities Expenses","Facilities Expenses",
"FAC8100","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Facilities Expenses","Rent","Rent",
"FAC8200","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Facilities Expenses","Utilities","Utilities",
"Allocations","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Operating Expenses","Allocations","Allocations",
"Allocations Sent","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Allocations","Allocations Sent","Allocations Sent",
"Allocations Received","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"Allocations","Allocations Received","Allocations Received",
"Other Exp Inc","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,"NetIncome","Other Exp Inc","Other Exp Inc",
"NoAccount","SPARSE","STORED",,"StoreData","NeverShare","N",,,"+",,,"NoAccount","NoAccount",
"Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,,"Statistics","Statistics",
"Sales Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,"Statistics","Sales Statistics","Sales Statistics",
"STAT1001","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Sales Statistics","Sold Quantity","Sold Quantity",
"STAT1002","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Sales Statistics","Sales Discounts","Sales Discounts",
"Cost Center Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,"Statistics","Cost Center Statistics","Cost Center Statistics",
"STAT1101","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Occupancy Square Feet","Occupancy Square Feet",
"STAT1102","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Headcount","Headcount",
"STAT1103","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Desktop Laptop Users","Desktop Laptop Users",
"STAT1104","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Hosted Application Users","Hosted Application Users",
"STAT1105","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","SLA Weight","SLA Weight",
"STAT1106","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Std Work Unit Time","Std Work Unit Time",
"STAT1107","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Std Setup Time","Std Setup Time",
"STAT1108","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Purchase Orders","Purchase Orders",
"STAT1109","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Cost Center Statistics","Invoices","Invoices",
"Activity Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,"Statistics","Activity Statistics","Activity Statistics",
"STAT1201","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Activity Statistics","Activity Time Split","Activity Time Split",
"Production Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,"Statistics","Production Statistics","Production Statistics",
"STAT1301","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Production Quantity","Production Quantity",
"STAT1302","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Production Set Up Quantity","Production Set Up Quantity",
"STAT1303","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Defect Count","Defect Count",
"STAT1304","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Setup Time","Setup Time",
"STAT1305","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Assembly Complexity Factor","Assembly Complexity Factor",
"STAT1306","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Fabrication Complexity Factor","Fabrication Complexity Factor",
"STAT1307","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Shipping Cube Size","Shipping Cube Size",
"STAT1308","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Advertising Spend Split","Advertising Spend Split",
"STAT1309","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","Campaign Development Hours","Campaign Development Hours",
"STAT1310","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","BOM Unit Rate","BOM Unit Rate",
"STAT1311","SPARSE","STORED",,"StoreData","NeverShare","N","[Production Quantity]*[Shipping Cube Size]",,"~",,"Production Statistics","Total Shipped Cube","Total Shipped Cube",
"STAT1312","SPARSE","STORED",,"StoreData","NeverShare","N","[Production Quantity]*[Assembly Complexity Factor]",,"~",,"Production Statistics","Weighted Assembly","Weighted Assembly",
"STAT1313","SPARSE","STORED",,"StoreData","NeverShare","N","[Production Quantity]*[Fabrication Complexity Factor]",,"~",,"Production Statistics","Weighted Fabrication","Weighted Fabrication",
"STAT1314","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","STAT1314","STAT1314",
"STAT1315","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Production Statistics","STAT1315","STAT1315",
"Customer Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,"Statistics","Customer Statistics","Customer Statistics",
"STAT1401","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Customer Statistics","Visits-Sales","Visits-Sales",
"STAT1402","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Customer Statistics","Calls-Sales","Calls-Sales",
"STAT1403","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Customer Statistics","Calls-Service","Calls-Service",
"STAT1404","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Customer Statistics","Returns","Returns",
"STAT1405","SPARSE","STORED",,"StoreData","NeverShare","N",,,"~",,"Customer Statistics","Orders","Orders",
"Performance Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,,"~",,"Statistics","Performance Statistics","Performance Statistics",
"STAT1501","SPARSE","STORED",,"LabelOnly","NeverShare","N","[Net Income]/[Net Revenue]*100",,"~",,"Performance Statistics","Net Income %","Net Income %",
"STAT1502","SPARSE","STORED",,"LabelOnly","NeverShare","N","[Gross Profit]/[Net Revenue]*100",,"~",,"Performance Statistics","Gross Profit %","Gross Profit %",
