Regular,PARENT,STORAGE TYPE,HIERARCHY TYPE,COMMENT,ASO DATA STORAGE,BSO DATA STORAGE,TWO PASS CALCULATION,ASO DIMENSION FORMULA,CONSOLIDATION TYPE,UDA,DIMENSION SOLVE ORDER,DIMENSION SORT ORDER,MEMBER SOLVE ORDER,ALIAS:Default,ALIAS:English,
    "STAT1309","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","Campaign Development Hours","Campaign Development Hours",
    "STAT1310","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","BOM Unit Rate","BOM Unit Rate",
    "STAT1311","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N","[Production Quantity]*[Shipping Cube Size]","~",,,,"0","Total Shipped Cube","Total Shipped Cube",
    "STAT1312","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N","[Production Quantity]*[Assembly Complexity Factor]","~",,,,"0","Weighted Assembly","Weighted Assembly",
    "STAT1313","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N","[Production Quantity]*[Fabrication Complexity Factor]","~",,,,"0","Weighted Fabrication","Weighted Fabrication",
    "STAT1314","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","STAT1314","STAT1314",
    "STAT1315","Production Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","STAT1315","STAT1315",
  "Customer Statistics","Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,"~",,,,"0","Customer Statistics","Customer Statistics",
    "STAT1401","Customer Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","Visits-Sales","Visits-Sales",
    "STAT1402","Customer Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","Calls-Sales","Calls-Sales",
    "STAT1403","Customer Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","Calls-Service","Calls-Service",
    "STAT1404","Customer Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","Returns","Returns",
    "STAT1405","Customer Statistics","SPARSE","STORED",,"StoreData","NeverShare","N",,"~",,,,"0","Orders","Orders",
  "Performance Statistics","Statistics","SPARSE","STORED",,"LabelOnly","NeverShare","N",,"~",,,,"0","Performance Statistics","Performance Statistics",
    "STAT1501","Performance Statistics","SPARSE","STORED",,"StoreData","NeverShare","N","[NET INCOME]/[NET REVENUE]*100","~",,,,"0","Net Income %","Net Income %",
    "STAT1502","Performance Statistics","SPARSE","STORED",,"StoreData","NeverShare","N","[GROSS PROFIT]/[NET REVENUE]*100","~",,,,"0","Gross Profit %","Gross Profit %",
